texto,intent
¿hoy trabajan?,sucursales_horarios
¿están abiertos todavía?,sucursales_horarios
¿la sucursal abre los domingos?,sucursales_horarios
info de horarios,sucursales_horarios
horarios,sucursales_horarios
¿cuál es el horario de la sucursal del centro?,sucursales_horarios
¿qué horarios tienen los sábados?,sucursales_horarios
¿abren hoy?,sucursales_horarios
quiero hablar con alguien de mayoreo,mayoreo
necesito atención para compra al mayoreo,mayoreo
me interesa comprar muchos libros,mayoreo
pueden comunicarme con ventas al mayoreo,mayoreo
busco un especialista para compras grandes,mayoreo
quiero cotizar un pedido grande de libros,mayoreo
necesito hacer una compra al por mayor,mayoreo
¿tienes descuentos por volumen?,mayoreo
quiero comprar muchas piezas,mayoreo
necesito surtirme para mi negocio,mayoreo
quiero hacer un pedido grande,mayoreo
necesito comprar varios productos de una sola vez,mayoreo
estoy buscando distribución mayorista,mayoreo
busco comprar 100 piezas de un producto,mayoreo
venta mayorista,mayoreo
pedido grande,mayoreo
compra por volumen,mayoreo
¿cómo funcionan las compras al mayoreo?,mayoreo
¿tienen descuentos por volumen?,mayoreo
ando buscando comprar por grandes cantidades,mayoreo
